surovina_en;surovina_sk;pocet_receptov;naparuje_sa_na_kluc;oddelenie;kcal_100g;zdroj_zaznamu
pears;hruška;1;hruška;Zelenina a ovocie;57;existujuci
malai;smotana;1;smotana;Mliečne a vajcia;250;existujuci
sevaiiya;rezance;1;rezance;Cestoviny a ryža;370;existujuci
oreo cream biscuits;oreo sušienky;1;oreo sušienky;Trvanlivé a konzervy;480;existujuci
unsalted pistachio;pistácie;1;pistácie;Orechy a semená;560;existujuci
white chocolate;čokoláda;1;čokoláda;Pečenie a sladké;534;existujuci
sweet quark;tvaroh;1;tvaroh;Mliečne a vajcia;98;existujuci
gelatine leafs;želatína;1;želatín;Pečenie a sladké;335;existujuci
miniature marshmallows;marshmallow;1;marshmallow;Pečenie a sladké;320;existujuci
saskatoon berries;čučoriedky;1;čučoriedk;Zelenina a ovocie;57;existujuci
vegetable shortening;hera;1;hera;Oleje a tuky;900;existujuci
nougatine;nugát;1;nugát;Pečenie a sladké;398;NOVY
fruit mix;sušené ovocie;1;sušené ovocie;Trvanlivé a konzervy;300;existujuci
dried cranberries;brusnice sušené;1;brusnice sušené;Zelenina a ovocie;308;existujuci
grand marnier;triple sec;1;triple sec;Alkohol;250;existujuci
redcurrants;ríbezľa;1;ríbezľ;Trvanlivé a konzervy;120;existujuci
vegetable millk;sójové mlieko;1;sójové mlieko;Mliečne a vajcia;39;existujuci
dessert rice;ryža;1;ryža;Cestoviny a ryža;360;existujuci
ground poppy seeds;mletý mak;1;mletý mak;Orechy a semená;525;existujuci
